source,target
La_Nicos,ProgettoRENA
La_Nicos,La_Nicos
La_Nicos,unipolideas
f_galtieri,ProgettoRENA
carlettab,ProgettoRENA
carlettab,sostenibile_com
carlettab,Acquarius75
socialmakingeco,ProgettoRENA
babaulab,ProgettoRENA
lorenzobenussi,damienlanfrey
larobbi,ProgettoRENA
lidiamarongiu,napo
fedepank,clodcop
fedepank,ProgettoRENA
ProgettoRENA,YouCanGroup
ProgettoRENA,Ffoodinstitute
Ale_Nigro,damienlanfrey
Ale_Nigro,ProgettoRENA
funkylotito,workingcapital
funkylotito,ChiaraPeggy
MicheledAlena,stefanomicelli
andreadanielli,FLuccisano
RuralHub,meedabyte
funkylotito,we4italy
funkylotito,ivanapais
RobCacciatore,BolloAlessandro
RobCacciatore,CentraleFies
fedepank,doonie
socialmakingeco,ivanapais
socialmakingeco,che
socialmakingeco,ProgettoRENA
biljaic,doonie
Tukulti_Ninurta,MicheledAlena
dominicipi,Erica_sir
dominicipi,ProgettoRENA
nikko801,siboc
nikko801,ProgettoRENA
nikko801,Erica_sir
nikko801,marcobani
larobbi,stefanomicelli
larobbi,ProgettoRENA
La_Nicos,damienlanfrey
La_Nicos,unipolideas
mariella_stella,ProgettoRENA
playgroundmary,TouringClub
BAMstracult,BolloAlessandro
BAMstracult,damienlanfrey
FabRM75,proformaweb
FabRM75,ProgettoRENA
CentroAntartide,FLuccisano
CentroAntartide,davideagazzi
CentroAntartide,CittaBeniComuni
enzolefevre,FraMazzocchi
larobbi,ChiaraPeggy
larobbi,ProgettoRENA
robertore62,damienlanfrey
robertore62,ProgettoRENA
lidiamarongiu,FusacchiA
Andreacritico,siboc
Andreacritico,ProgettoRENA
aperdichizzi,ProgettoRENA
larobbi,chrisiaio
ProgettoRENA,ChiaraPeggy
muuffa,ChiaraPeggy
mamacaluda,damienlanfrey
biljaic,alebegoli
ZEPHIROTORNA,FLuccisano
Emuratori,FusacchiA
LiveUru,FLuccisano
Robertap526,FusacchiA
Robertap526,ProgettoRENA
Giank_Russo,FusacchiA
siboc,napo
AlessandraFeol1,ivanapais
AlessandraFeol1,Labsus1
f_galtieri,FLuccisano
GianlucaMingozz,ProgettoRENA
chrisiaio,Labsus1
chrisiaio,LabGov
PierG,ArtOfDecisions
PierG,IconsultingBI
anpugliese,FLuccisano
De_DiDio,alessiobau
perugini,mariella_stella
beavillari,ProgettoRENA
ValeriaAdani,ProgettoRENA
ValeriaAdani,FLuccisano
REStartSocial,meedabyte
robertore62,FLuccisano
robertore62,f_galtieri
robertore62,ProgettoRENA
f_galtieri,ProgettoRENA
enzolefevre,ProgettoRENA
Erica_sir,FusacchiA
biljaic,ChiaraPeggy
biljaic,gluca
bia_hvid,mantralex
pantedoka,ProgettoRENA
fmp_it,doonie
LucaBosonetto,ProgettoRENA
bia_hvid,doonie
luigireggi,siboc
luigireggi,Erica_sir
luigireggi,Monithon
ADelliNoci,Robertap526
PierG,spettandoGodot
PierG,ChiaraPeggy
f_galtieri,FusacchiA
f_galtieri,ProgettoRENA
Robertap526,Innovandiamo
Robertap526,ProgettoRENA
AgostinoRiitano,mantralex
AgostinoRiitano,RuralHub
ArielsM87,BolloAlessandro
perugini,salvamarra
Andreacritico,ProgettoRENA
AgostinoRiitano,dgiluz
ProgettoRENA,quotidianonet
PierG,ChiaraPeggy
Ale_Nigro,BolloAlessandro
Ale_Nigro,ProgettoRENA
f_galtieri,OOPgiovani
siboc,phisaz
siboc,SerenaMaioli
siboc,domenicoros
siboc,totididio
siboc,napo
siboc,lorenzobenussi
Robertap526,ProgettoRENA
Socialseed_,ProgettoRENA
Socialseed_,giusate
Socialseed_,batty82
Socialseed_,tamamikomatsu
Tukulti_Ninurta,ivanapais
LiveUru,damienlanfrey
f_galtieri,ProgettoRENA
f_galtieri,domenicoros
f_galtieri,ADelliNoci
perugini,stefymilo
PuntoDock,Labsus1
larobbi,FusacchiA
LiveUru,TorinoAnni10
LiveUru,dionysiaco
lucliva,ladycrowd
Robertap526,ProgettoRENA
Robertap526,FLuccisano
CrestaMiriam,jaItalia
saroversi,ChefSimone
saroversi,ProgettoRENA
REStartSocial,dgiluz
TorinoAnni10,ChiaraPeggy
larobbi,napo
larobbi,ProgettoRENA
f_galtieri,ChiaraPeggy
f_galtieri,FusacchiA
CentroAntartide,CittaBeniComuni
CentroAntartide,chrisiaio
sociolab_tweet,ChiaraPeggy
AleBezzi,meedabyte
AttivaFirenze,dgiluz
TorinoAnni10,FusacchiA
chiarabert,meedabyte
chiarabert,stefanomicelli
EleParisi,BolloAlessandro
EmilBanca,IdeaGinger
playgroundmary,ivanapais
AleBezzi,BolloAlessandro
larobbi,FLuccisano
larobbi,ProgettoRENA
indugiare,AlessandroBollo
indugiare,CultPopSocCoop
indugiare,michiamofede
bobpersio,meedabyte
wendy_tiger,be_p
wendy_tiger,dgiluz
hubspa,hubspa
hubspa,giasmar
hubspa,GRiccardelli
YouCanGroup,saroversi
Ale_Nigro,ProgettoRENA
AgostinoRiitano,ChiaraPeggy
saverio_cuoghi,ChiaraPeggy
nelsonmau,MicheledAlena
nelsonmau,davideagazzi
invisigot,napo
invisigot,dskutz
ProgettoRENA,ChiaraPeggy
f_galtieri,FusacchiA
saroversi,ChiaraPeggy
saroversi,ProgettoRENA
EmilBanca,dgiluz
EmilBanca,stefanomicelli
calembourdesign,FLuccisano
TorinoAnni10,HansCaron
RuralHub,ctroccoli
RuralHub,ColdirettiG
AleBezzi,ProgettoRENA
perugini,Lebowskiana
agaddone,coderdojobo
agaddone,serraalle
agaddone,LindaIerardi
pantedoka,stefanomicelli
sabinacuccibar,MUSE_Fablab
Socialseed_,FusacchiA
siboc,ProgettoRENA
socialPA_RM,RockyourSchool
f_galtieri,Anci_Giovani
f_galtieri,Robertap526
calabriativi,VZappino
calabriativi,ProgettoRENA
RobCacciatore,meedabyte
YouCanGroup,FLuccisano
lajeje13,ProgettoRENA
HUBFirenze,MarcoTognetti1
_CleaNap,Labsus1
_CleaNap,chrisiaio
perugini,funkylotito
Becrowdy,workingcapital
bia_hvid,chrisiaio
ProgettoRENA,dgiluz
beavillari,ProgettoRENA
beavillari,stefanomicelli
beavillari,Filippo_Berto
clarainbeta,napo
lorenzobenussi,FusacchiA
noemisatta,ProgettoRENA
beavillari,ProgettoRENA
beavillari,napo
mamacaluda,FraMazzocchi
f_galtieri,ivanapais
f_galtieri,ProgettoRENA
andrecatta,Annibaledelia
perugini,coderdojobo
TorinoAnni10,BolloAlessandro
fiammato,chrisiaio
ArtOfDecisions,ZazzaNM
LiveUru,dskutz
AlessandraFeol1,clodcop
AlessandraFeol1,ProgettoRENA
AlessandraFeol1,Labsus1
34fuso,BAMstracult
34fuso,mantralex
battagliaem,RuralHub
battagliaem,mantralex
violamargiotta,chrisiaio
ProgettoRENA,FLuccisano
TorinoAnni10,dgiluz
diegoteloni,stefanomicelli
Andreacritico,ValerioMonaco
Andreacritico,fvali11
ValComm,aperdichizzi
Ravenna2019,FLuccisano
larobbi,napo
larobbi,ProgettoRENA
AlbStornelli,giusate
AlbStornelli,batty82
AlbStornelli,dimarconicola
AlbStornelli,ProgettoRENA
enzolefevre,chrisiaio
enzolefevre,ProgettoRENA
vivaioimprese,dgiluz
Iris_Network,ProgettoRENA
karmainspace,chrisiaio
ComunicaMenteBO,matteolepore
Innovandiamo,ProgettoRENA
larobbi,aperdichizzi
larobbi,FusacchiA
okfnitaly,damienlanfrey
metiuuitem,napo
metiuuitem,FusacchiA
FBrudaglio,FraMazzocchi
FBrudaglio,ProgettoRENA
ProgettoRENA,chrisiaio
ProgettoRENA,Labsus1
mrcfabbri,Annibaledelia
killermedia,PuntoDock
killermedia,BAMstracult
killermedia,f_galtieri
vivaioimprese,FusacchiA
coderdojobo,eineki
coderdojobo,eineki
coderdojobo,tarmelop
coderdojobo,agaddone
LucaCominassi,napo
Acquarius75,napo
perugini,TorinoAnni10
VZappino,sergiostumpo
VZappino,domenicoros
VZappino,VitaDario
VZappino,calabriativi
LiatRogel,ProgettoRENA
LiatRogel,HousingLab
bia_hvid,FusacchiA
TorinoAnni10,ChiaraPeggy
andrecatta,FusacchiA
Tukulti_Ninurta,FusacchiA
Tukulti_Ninurta,MiurSocial
ProgettoRENA,damienlanfrey
egferro,damienlanfrey
PuntoDock,ProgettoRENA
violamargiotta,ChiaraPeggy
guglielmoa,meedabyte
AgostinoRiitano,meedabyte
EmilBanca,IdeaGinger
RuralHub,mantralex
RuralHub,RuralHub
adagio84,ProgettoRENA
VulcanicaMente,Emiliana_Me
VulcanicaMente,ProgettoRENA
VulcanicaMente,ProgettoRENA
michiamofede,AlessandroBollo
michiamofede,CultPopSocCoop
muuffa,ChiaraPeggy
YouCanGroup,ndifino
YouCanGroup,ProgettoRENA
SBVinTasca,coderdojobza
LiveUru,FLuccisano
LiveUru,ProgettoRENA
LiveUru,AFusacchia
LiveUru,laurafigazzolo
Robertap526,ADelliNoci
tagliatella1,ZEPHIROTORNA
saroversi,ndifino
saroversi,ProgettoRENA
RosaBorgognoni,napo
Cittadinireatti,proge
franleu,FLuccisano
Robertap526,ProgettoRENA
urbanohumano,clarainbeta
urbanohumano,MicheledAlena
urbanohumano,meedabyte
urbanohumano,Collaboriamo
startsaturdays,ivanapais
EmilBanca,stefanomicelli
bia_hvid,ZazzaNM
LiveUru,franleu
LiveUru,pcapellino
LiveUru,ElisaCasetta
LiveUru,E_tci
LiveUru,ire_rete
LiveUru,_smartera
bia_hvid,ivanapais
f_galtieri,ProgettoRENA
f_galtieri,FLuccisano
lucliva,napo
EmilBanca,BolloAlessandro
PuntoDock,LabGov
mrcfabbri,FraMazzocchi
PierG,graziano_delrio
MattiaSullini,meedabyte
ProgettoRENA,chrisiaio
carlettab,tarmelop
metiuuitem,stefanomicelli
diegoteloni,ProgettoRENA
diegoteloni,FusacchiA
Ale_Nigro,chrisiaio
Ale_Nigro,ProgettoRENA
FraMazzocchi,FLuccisano
ProgettoRENA,FusacchiA
beavillari,ProgettoRENA
czgavazzi,FusacchiA
Innovandiamo,FLuccisano
vignolimatteo,ProgettoRENA
paolocampagnano,ivanapais
saroversi,ProgettoRENA
isaangiuli,chrisiaio
isaangiuli,ProgettoRENA
TorselloM,FLuccisano
TorselloM,GSRomeHub
TorinoAnni10,ivanapais
catencina,FLuccisano
lorenzobenussi,davideagazzi
lorenzobenussi,MicheledAlena
lorenzobenussi,FLuccisano
playgroundmary,FusacchiA
beavillari,ProgettoRENA
beavillari,FusacchiA
playgroundmary,stefanomicelli
DarioMazzella,addibbi
DarioMazzella,ProgettoRENA
LucaCominassi,damienlanfrey
LucaCominassi,ghirardinicola
LucaCominassi,dskutz
MattiaSullini,ivanapais
spettandoGodot,TommasoSacchi
AleBezzi,chrisiaio
TorinoAnni10,BolloAlessandro
aperdichizzi,stefanomicelli
ProgettoRENA,doonie
lucliva,ZazzaNM
smodeo86,the_qube
f_galtieri,FLuccisano
f_galtieri,ProgettoRENA
beavillari,ProgettoRENA
albpas,ProgettoRENA
dclfbk,napo
ivanapais,stefanomicelli
TorinoAnni10,BolloAlessandro
andrecatta,ChiaraPeggy
violamargiotta,matteolepore
metiuuitem,napo
perugini,ErikaMunno
indugiare,totididio
iladonatio,FLuccisano
AlessandraFeol1,Sardexnet
AlessandraFeol1,ProgettoRENA
Acquarius75,sostenibile_com
Acquarius75,carlettab
Acquarius75,chrisiaio
Acquarius75,Cikyio
ProgettoRENA,FLuccisano
massimosanti,damienlanfrey
JCubeSrl,davideagazzi
JCubeSrl,matteolepore
AleBezzi,stefanomicelli
RanghioFrance,damienlanfrey
paolocampagnano,ivanapais
Liberos2,ivanapais
enzolefevre,ProgettoRENA
2020CityPlus,ChiaraPeggy
2020CityPlus,ProgettoRENA
Erica_sir,FLuccisano
biljaic,lorenzov
letiziapian,ProgettoRENA
alessiobau,MiurSocial
alessiobau,FusacchiA
ghirardinicola,metiuuitem
ghirardinicola,MicheledAlena
Emblema_,napo
Liberos2,ZazzaNM
Liberos2,manuel_persico
Lebowskiana,xdxd_vs_xdxd
Lebowskiana,EleParisi
Lebowskiana,mantralex
Lebowskiana,bertramniessen
LucaCominassi,dskutz
franleu,we4italy
franleu,Guarene2020
MLetiziaGardoni,FLuccisano
EmilBanca,FLuccisano
metiuuitem,BolloAlessandro
metiuuitem,damienlanfrey
ProgettoRENA,lanicos
hubspa,FLuccisano
hubspa,FusacchiA
hubspa,davideagazzi
hubspa,frarusso
damienlanfrey,dskutz
LiveUru,ivanapais
SalvatoreAmura,FusacchiA
SalvatoreAmura,MiurSocial
funkylotito,anpugliese
funkylotito,FLuccisano
ProgettoRENA,BolloAlessandro
gpcolletti,ChiaraPeggy
spettandoGodot,ProgettoRENA
aperdichizzi,ladycrowd
catencina,La_Nicos
ProgettoRENA,dgiluz
noemisatta,damienlanfrey
noemisatta,ProgettoRENA
EmilBanca,ivanapais
ValComm,FLuccisano
ValComm,chrisiaio
Liberos2,BolloAlessandro
EmilBanca,FLuccisano
PierG,ChiaraPeggy
REStartSocial,ChiaraPeggy
donatilor,Ravenna2019
donatilor,mamacaluda
donatilor,ProgettoRENA
DGermy,TeslaMotors
AleBezzi,ProgettoRENA
LiveUru,FusacchiA
TorselloM,GSRomeHub
ValComm,LSecchiari
catencina,ivanapais
pigillone,BolloAlessandro
pigillone,ArefBrescia
Emuratori,napo
ChiaraPeggy,FusacchiA
calabriativi,damienlanfrey
calabriativi,siboc
ProgettoRENA,doonie
michiamofede,ivanapais
larobbi,ProgettoRENA
Liberos2,FLuccisano
f_galtieri,ProgettoRENA
Ale_Nigro,ProgettoRENA
carlettab,OuiShare
BChiavarino,doonie
workingcapital,FLuccisano
Mario_Intini,FLuccisano
Societing_SC,Rafr
Societing_SC,AmareRecoba
Societing_SC,andreadanielli
perugini,EmilBanca
AgostinoRiitano,ChiaraPeggy
larobbi,BolloAlessandro
larobbi,FitzcarraldoFon
larobbi,ProgettoRENA
metiuuitem,ProgettoRENA
metiuuitem,FLuccisano
siboc,marcobani
EmilBanca,matteolepore
PuntoDock,paoloventuri100
PuntoDock,ProgettoRENA
franleu,larobbi
franleu,FLuccisano
franleu,ProgettoRENA
bobpersio,stefanomicelli
marco_vignoli,FusacchiA
marco_vignoli,vignolimatteo
pelo80,napo
AlessandraFeol1,FLuccisano
ValComm,davirubini
ValComm,f_galtieri
mrcfabbri,FLuccisano
mrcfabbri,matteorenzi
Socialseed_,damienlanfrey
beavillari,ProgettoRENA
beavillari,ZazzaNM
larobbi,istat_it
LiveUru,damienlanfrey
LiveUru,TorinoAnni10
LiveUru,piervaccaneo
LiveUru,mariella_stella
LiveUru,robertamilano
chiarabert,MLetiziaGardoni
chiarabert,indugiare
Robertap526,dgiluz
Robertap526,ProgettoRENA
paolocampagnano,damienlanfrey
f_galtieri,damienlanfrey
f_galtieri,ProgettoRENA
Tukulti_Ninurta,ProgettoRENA
StefanoZorzi,FLuccisano
EmilBanca,ChiaraPeggy
giuseppecik,mariella_stella
giuseppecik,and_paoletti
giuseppecik,profumodisvolta
2020CityPlus,ProgettoRENA
perugini,Socialseed_
BAMstracult,BolloAlessandro
mamacaluda,Ravenna2019
ProgettoRENA,FLuccisano
ProgettoRENA,damienlanfrey
attilio_db,ProgettoRENA
violamargiotta,ProgettoRENA
Robertap526,ProgettoRENA
ProgettoRENA,salvamarra
ProgettoRENA,etuc_ces
RanghioFrance,stefanomicelli
Societing_SC,FLuccisano
LiveUru,BolloAlessandro
Emblema_,chrisiaio
Emblema_,ProgettoRENA
ProgettoRENA,clodcop
bia_hvid,digitalpaths
bia_hvid,workingcapital
TorinoAnni10,FLuccisano
PuntoDock,we4italy
Socialseed_,chrisiaio
metiuuitem,MicheledAlena
ProgettoRENA,stefanomicelli
Liberos2,enricogiova
aperdichizzi,chrisiaio
aperdichizzi,marcogy
andreamareschi,ivanapais
saroversi,davideagazzi
YouCanGroup,Ffoodinstitute
YouCanGroup,saroversi
YouCanGroup,ProgettoRENA
YouCanGroup,ndifino
startsaturdays,meedabyte
AleBezzi,chrisiaio
AleBezzi,Labsus1
y_teal,ortiche_
2020CityPlus,ProgettoRENA
2020CityPlus,stefanomicelli
perugini,ProgettoRENA
Acquarius75,ivanapais
muuffa,damienlanfrey
TorinoAnni10,La_Nicos
TorinoAnni10,damienlanfrey
VZappino,domenicoros
VZappino,VitaDario
VZappino,sergiostumpo
VZappino,calabriativi
ArielsM87,chrisiaio
Liberos2,enricogiova
AleBezzi,ivanapais
annamasera,napo
annamasera,mantralex
egferro,MicheledAlena
gpcolletti,meedabyte
AttivaFirenze,Twiperbole
paolocosta,akribia
paolocosta,TorinoAnni10
paolocosta,davideagazzi
larobbi,ProgettoRENA
AttivaFirenze,chrisiaio
AttivaFirenze,Twiperbole
totididio,wepushsocial
totididio,Labsus1
beavillari,ProgettoRENA
beavillari,FusacchiA
mariella_stella,FLuccisano
mariella_stella,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,RanghioFrance
bobpersio,marcogy
clarainbeta,sergiogalasso
fedecolonna,PezzeGalere
coderdojobo,eineki
coderdojobo,BaStraNo
coderdojobo,catemoscetti
coderdojobo,agaddone
coderdojobo,CoderDojo
guglielmoa,FLuccisano
fedepank,ProgettoRENA
Innovandiamo,FLuccisano
RuralHub,FLuccisano
dimarconicola,ProgettoRENA
ValComm,Ale_Nigro
ValComm,ProgettoRENA
TorinoAnni10,ProgettoRENA
LuciaTubaro,FLuccisano
ProgettoRENA,MLetiziaGardoni
ProgettoRENA,ColdirettiG
2020CityPlus,matteolepore
2020CityPlus,ProgettoRENA
killermedia,ProgettoRENA
EmilBanca,damienlanfrey
RitaBartolomei,simonecicero
ValerioBetti,COBspace
ValerioBetti,alepirani
ValerioBetti,batty82
ValerioBetti,ProgettoRENA
perugini,mamacaluda
f_galtieri,ColdirettiG
f_galtieri,MLetiziaGardoni
siboc,ProgettoRENA
ivanapais,ChiaraPeggy
ivanapais,egeaonline
AgostinoRiitano,RuralHub
YouCanGroup,BolloAlessandro
massimosanti,ivanapais
aperdichizzi,ChiaraPeggy
letiziapian,ProgettoRENA
LiveUru,FLuccisano
LiveUru,E_tci
damienlanfrey,FLuccisano
vivisostenibile,FuoritracciaCom
saroversi,marcogy
saroversi,ProgettoRENA
saroversi,GGUnindustriaBo
saroversi,YouCanGroup
saroversi,aperdichizzi
saroversi,marcogy
piazzaberlino,lorenzobenussi
piazzaberlino,FLuccisano
fedecolonna,damienlanfrey
mamacaluda,FusacchiA
mamacaluda,Ravenna2019
Emuratori,napo
Emuratori,FLuccisano
Emuratori,mamacaluda
Emuratori,isaangiuli
Emuratori,FraMazzocchi
Emuratori,addibbi
mamacaluda,napo
mamacaluda,Ravenna2019
workingcapital,coderdojobo
TorinoAnni10,HansCaron
TorinoAnni10,TorinoAnni10
TorinoAnni10,davideagazzi
ProgettoRENA,dskutz
mamacaluda,Ravenna2019
AlessandraFeol1,ErikaMunno
egferro,FLuccisano
egferro,davideagazzi
egferro,FraMazzocchi
egferro,MicheledAlena
mamacaluda,BolloAlessandro
mrcfabbri,dgiluz
bobpersio,dgiluz
AleBezzi,Sardexnet
vapost,clarainbeta
vapost,FLuccisano
vapost,ProgettoRENA
egferro,mariocalabresi
egferro,DeBortoliF
TorinoAnni10,FLuccisano
EmilBanca,ethicalbanking
AttivaFirenze,AleBezzi
massimosanti,dskutz
Ale_Nigro,lucliva
perugini,aspALISEI
DigitaliansEU,FusacchiA
YouCanGroup,simon_salvini
YouCanGroup,Ffoodinstitute
YouCanGroup,ProgettoRENA
robertore62,FLuccisano
robertore62,damienlanfrey
robertore62,ProgettoRENA
SilviaZanella_,biljaic
SilviaZanella_,doonie
CentroAntartide,meedabyte
RobCacciatore,FusacchiA
f_galtieri,GIConfindustria
f_galtieri,marcogy
HUBFirenze,stefanomicelli
diegoteloni,damienlanfrey
diegoteloni,sumlab
diegoteloni,FondazBrodolini
AleBezzi,giovarizzo
AleBezzi,ProgettoRENA
AleBezzi,MarcoTognetti1
Robertap526,siboc
Robertap526,ProgettoRENA
sociolab_tweet,meedabyte
sociolab_tweet,OuiShare
wendy_tiger,chrisiaio
larobbi,ProgettoRENA
aperdichizzi,marcogy
aperdichizzi,GIConfindustria
aperdichizzi,ProgettoRENA
EmilBanca,chrisiaio
gretabonfatti,ProgettoRENA
gretabonfatti,coderdojobo
ProgettoRENA,YouCanGroup
ProgettoRENA,Ffoodinstitute
digitalpaths,workingcapital
CrestaMiriam,jaItalia
LiveUru,napo
karmainspace,BolloAlessandro
diegoteloni,FondazBrodolini
Iris_Network,ivanapais
bobpersio,FusacchiA
bobpersio,f_galtieri
PierG,napo
stef_proietti,FLuccisano
ArtOfDecisions,ProgettoRENA
f_galtieri,GabroXII
anpugliese,FLuccisano
AgostinoRiitano,mantralex
AgostinoRiitano,RuralHub
larobbi,chrisiaio
indugiare,AlessandroBollo
agaddone,coderdojobo
agaddone,CoderDojoRoma
agaddone,CoderDojo
perugini,massimosanti
mariella_stella,ProgettoRENA
f_galtieri,stefymilo
MattiaSullini,ivanapais
fedecolonna,doonie
YouCanGroup,vignolimatteo
AleBezzi,FusacchiA
PierG,ZazzaNM
ProgettoRENA,chrisiaio
demichelisf,FusacchiA
demichelisf,ProgettoRENA
michiamofede,ProgettoRENA
michiamofede,indugiare
michiamofede,CultPopSocCoop
larobbi,ProgettoRENA
invisigot,metiuuitem
invisigot,ghirardinicola
invisigot,MicheledAlena
mamacaluda,Ravenna2019
io_floriano,ProgettoRENA
EmilBanca,stefanomicelli
Robertap526,chrisiaio
Robertap526,ProgettoRENA
Innovandiamo,FusacchiA
mamacaluda,Ravenna2019
EmilBanca,ivanapais
metiuuitem,stefanomicelli
LuciaTubaro,ChiaraPeggy
ValComm,Ale_Nigro
ValComm,ProgettoRENA
silvia_rensi,ivanapais
perugini,HUBFirenze
Lebowskiana,damienlanfrey
nikko801,ProgettoRENA
nikko801,ProgettoRENA
nikko801,OuiShare
startsaturdays,ChiaraPeggy
DarioMazzella,ZazzaNM
DarioMazzella,ProgettoRENA
FBrudaglio,ProgettoRENA
perugini,Greenjobs_it
AgostinoRiitano,damienlanfrey
PierG,andreabez
TorinoAnni10,damienlanfrey
AlessandraFeol1,chrisiaio
AlessandraFeol1,ProgettoRENA
akribia,paolocosta
perugini,we4italy
perugini,bia_hvid
MattiaSullini,meedabyte
PierG,FLuccisano
noemisatta,ProgettoRENA
perugini,siboc
perugini,RuralHub
PierG,mamacaluda
PierG,dgiluz
Robertap526,chrisiaio
ADelliNoci,Piersoft
ADelliNoci,gabrimorelli
ADelliNoci,violamargiotta
ADelliNoci,CoderDojoLe
Innovandiamo,meedabyte
OOPgiovani,letiziapian
OOPgiovani,IrecoopER
ArtOfDecisions,MicheledAlena
VaresiPaolo,GiancaBergamo
VaresiPaolo,UGLNazionale
chiarabert,FusacchiA
biljaic,FusacchiA
f_galtieri,ProgettoRENA
LiatRogel,gpcolletti
larobbi,BolloAlessandro
larobbi,ProgettoRENA
bobpersio,FusacchiA
calabriativi,SmartDMO
briguzia,AleBezzi
mrcfabbri,Kiva
andrecatta,chrisiaio
EmilBanca,MicheledAlena
RitaBartolomei,FraMazzocchi
Giank_Russo,dgiluz
silvia_rensi,stefanomicelli
silvia_rensi,mauribusacca
silvia_rensi,Editormanque
perugini,czgavazzi
perugini,dclfbk
ValComm,addibbi
Cittadinireatti,ProgettoRENA
startsaturdays,ZazzaNM
ProgettoRENA,BolloAlessandro
spettandoGodot,damienlanfrey
RRocelli,ProgettoRENA
YouCanGroup,ivanapais
YouCanGroup,ProgettoRENA
bia_hvid,ZazzaNM
f_galtieri,ProgettoRENA
St_Giaccardi,stefanomicelli
TorinoAnni10,davideagazzi
stelab_82,ChiaraPeggy
startsaturdays,FusacchiA
noemisatta,ProgettoRENA
ValComm,GammaDonna_
muuffa,morenaragone
RitaBartolomei,kilowattBo
silvia_rensi,chrisiaio
silvia_rensi,Labsus1
panebarcos,FLuccisano
LiveUru,dgiluz
LiveUru,demartin
LiveUru,annamasera
LiveUru,foscanomis
enzolefevre,stefanomicelli
Smartcityexhib,napo
Smartcityexhib,Forum_PA
saverio_cuoghi,MicheledAlena
dskutz,tarmelop
gpcolletti,ChefSimone
Innovandiamo,fmp_it
Innovandiamo,FusacchiA
massimosanti,FLuccisano
perugini,AleBezzi
ValComm,aperdichizzi
ValComm,ProgettoRENA
violamargiotta,FLuccisano
lucliva,meedabyte
fabriziacalda,BolloAlessandro
Design_Apart_IT,ProgettoRENA
LucaCominassi,ZazzaNM
indugiare,AlessandroBollo
indugiare,CultPopSocCoop
Robertap526,MazzoccoMike
Robertap526,welikechopin
